2017-10-25 17:13:22,937 [Worker-41] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 6 resources
2017-10-25 17:13:22,939 [Worker-41] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-10-25 17:13:22,940 [Worker-41] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/di/SpringMVC-Spring-Mybatis/ssm/src/test/resources
2017-10-25 17:16:02,295 [Worker-40] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-10-25 17:16:02,297 [Worker-40] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 6 resources
2017-10-25 17:16:02,306 [Worker-40] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-10-25 17:16:02,310 [Worker-40] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/di/SpringMVC-Spring-Mybatis/ssm/src/test/resources
2017-10-25 17:17:58,883 [Worker-46] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-10-25 17:17:58,884 [Worker-46] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 6 resources
2017-10-25 17:17:58,890 [Worker-46] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-10-25 17:17:58,891 [Worker-46] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/di/SpringMVC-Spring-Mybatis/ssm/src/test/resources
2017-10-25 19:59:39,309 [Worker-78] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-10-25 19:59:39,310 [Worker-78] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
